similarity,stsb:test,mean
COS+SUP,73.47,73.47
WRD+SUP,74.80,74.80
WRD+SUP+L0,73.47,73.47
WRD+SUP+L1,69.78,69.78
WRD+SUP+L2,71.18,71.18
WRD+SUP+L3,72.51,72.51
WRD+SUP+L4,73.64,73.64
ROTS+SUP0,73.47,73.47
ROTS+SUP1,73.77,73.77
ROTS+SUP2,74.02,74.02
ROTS+SUP3,74.05,74.05
ROTS+SUP4,74.69,74.69
ROTS+SUPmean,74.25,74.25
ROTS+SUPmax,74.58,74.58
ROTS+SUPmin,73.36,73.36
ROTS+SUPlast,74.30,74.30
COS+SWC,74.78,74.78
WRD+SWC,74.58,74.58
WRD+SWC+L0,74.59,74.59
WRD+SWC+L1,68.48,68.48
WRD+SWC+L2,70.17,70.17
WRD+SWC+L3,71.94,71.94
WRD+SWC+L4,73.18,73.18
COS+WR,70.13,70.13
WRD+WR,73.13,73.13
WRD+WR+L0,70.13,70.13
WRD+WR+L1,66.55,66.55
WRD+WR+L2,69.18,69.18
WRD+WR+L3,70.83,70.83
WRD+WR+L4,71.92,71.92
