similarity,stsb:test,mean
COS+SUP,73.50,73.50
WRD+SUP,73.78,73.78
WRD+SUP+L0,73.50,73.50
WRD+SUP+L1,67.51,67.51
WRD+SUP+L2,68.96,68.96
WRD+SUP+L3,70.92,70.92
WRD+SUP+L4,72.25,72.25
ROTS+SUP0,73.50,73.50
ROTS+SUP1,73.76,73.76
ROTS+SUP2,73.95,73.95
ROTS+SUP3,73.95,73.95
ROTS+SUP4,74.48,74.48
ROTS+SUPmean,74.19,74.19
ROTS+SUPmax,74.42,74.42
ROTS+SUPmin,73.52,73.52
ROTS+SUPlast,74.24,74.24
COS+SWC,74.22,74.22
WRD+SWC,73.01,73.01
WRD+SWC+L0,73.93,73.93
WRD+SWC+L1,66.32,66.32
WRD+SWC+L2,67.76,67.76
WRD+SWC+L3,69.95,69.95
WRD+SWC+L4,71.31,71.31
ROTS+SWC0,73.93,73.93
ROTS+SWC1,74.06,74.06
ROTS+SWC2,74.15,74.15
ROTS+SWC3,74.14,74.14
ROTS+SWC4,74.47,74.47
ROTS+SWCmean,74.37,74.37
ROTS+SWCmax,74.41,74.41
ROTS+SWCmin,74.03,74.03
ROTS+SWClast,74.37,74.37
COS+WR,71.13,71.13
WRD+WR,72.52,72.52
WRD+WR+L0,71.13,71.13
WRD+WR+L1,65.31,65.31
WRD+WR+L2,67.48,67.48
WRD+WR+L3,69.64,69.64
WRD+WR+L4,70.92,70.92
ROTS+WR0,71.13,71.13
ROTS+WR1,71.57,71.57
ROTS+WR2,72.05,72.05
ROTS+WR3,72.22,72.22
ROTS+WR4,72.93,72.93
ROTS+WRmean,72.34,72.34
ROTS+WRmax,72.79,72.79
ROTS+WRmin,71.36,71.36
ROTS+WRlast,72.63,72.63
